100,1000
104,1000
108,1000
112,1000
116,1800
120,10000
1000,-145
1004,-145
1008,-145
1012,-145
1016,-145
1020,-145
1024,-145
1028,-145
1032,-137
1036,-137
1040,-137
1044,-137
1048,-163
1052,-163
1056,-163
1060,-163
1064,-173
1068,-173
1072,-173
1076,-173
1080,-182
1084,-182
1088,-182
1092,-182
1096,-158
1100,-158
1104,-158
1108,-158
1112,-228
1116,-228
1120,-228
1124,-228
1128,-265
1132,-265
1136,-265
1140,-265
1144,-265
1148,-265
1152,-265
1156,-265
1160,-286
1164,-286
1168,-286
1172,-286
1176,-294
1180,-294
1184,-294
1188,-294
1192,-279
1196,-279
1200,-279
1204,-279
1208,-295
1212,-295
1216,-295
1220,-295
1224,-296
1228,-296
1232,-296
1236,-296
1240,-350
1244,-350
1248,-350
1252,-350
1256,-433
1260,-433
1264,-433
1268,-433
1272,-365
1276,-365
1280,-365
1284,-365
1288,261
1292,261
1296,261
1300,261
1304,725
1308,725
1312,725
1316,725
1320,-199
1324,-199
1328,-199
1332,-199
1336,-363
1340,-363
1344,-363
1348,-363
1352,-334
1356,-334
1360,-334
1364,-334
1368,-320
1372,-320
1376,-320
1380,-320
1384,-336
1388,-336
1392,-336
1396,-336
1400,-330
1404,-330
1408,-330
1412,-330
1416,-340
1420,-340
1424,-340
1428,-340
1432,-322
1436,-322
1440,-322
1444,-322
1448,-331
1452,-331
1456,-331
1460,-331
1464,-349
1468,-349
1472,-349
1476,-349
1480,-332
1484,-332
1488,-332
1492,-332
1496,-335
1500,-335
1504,-335
1508,-335
1512,-332
1516,-332
1520,-332
1524,-332
1528,-340
1532,-340
1536,-340
1540,-340
1544,-344
1548,-344
1552,-344
1556,-344
1560,-332
1564,-332
1568,-332
1572,-332
1576,-336
1580,-336
1584,-336
1588,-336
1592,-345
1596,-345
1600,-345
1604,-345
1608,-341
1612,-341
1616,-341
1620,-341
1624,-337
1628,-337
1632,-337
1636,-337
1640,-351
1644,-351
1648,-351
1652,-351
1656,-347
1660,-347
1664,-347
1668,-347
1672,-361
1676,-361
1680,-361
1684,-361
1688,-371
1692,-371
1696,-371
1700,-371
1704,-366
1708,-366
1712,-366
1716,-366
1720,-363
1724,-363
1728,-363
1732,-363
1736,-355
1740,-355
1744,-355
1748,-355
1752,-331
1756,-331
1760,-331
1764,-331
1768,-301
1772,-301
1776,-301
1780,-301
1784,-286
1788,-286
1792,-286
1796,-286
1800,-255
1804,-255
1808,-255
1812,-255
1816,-244
1820,-244
1824,-244
1828,-244
1832,-249
1836,-249
1840,-249
1844,-249
1848,-252
1852,-252
1856,-252
1860,-252
1864,-257
1868,-257
1872,-257
1876,-257
1880,-265
1884,-265
1888,-265
1892,-265
1896,-276
1900,-276
1904,-276
1908,-276
1912,-271
1916,-271
1920,-271
1924,-271
1928,-279
1932,-279
1936,-279
1940,-279
1944,-277
1948,-277
1952,-277
1956,-277
1960,-279
1964,-279
1968,-279
1972,-279
1976,-300
1980,-300
1984,-300
1988,-300
1992,-306
1996,-306
2000,-306
2004,-306
2008,-289
2012,-289
2016,-289
2020,-289
2024,-298
2028,-298
2032,-298
2036,-298
2040,-310
2044,-310
2048,-310
2052,-310
2056,-302
2060,-302
2064,-302
2068,-302
2072,-317
2076,-317
2080,-317
2084,-317
2088,-317
2092,-317
2096,-317
2100,-317
2104,-313
2108,-313
2112,-313
2116,-313
2120,-305
2124,-305
2128,-305
2132,-305
2136,-298
2140,-298
2144,-298
2148,-298
2152,-293
2156,-293
2160,-293
2164,-293
2168,-305
2172,-305
2176,-305
2180,-305
2184,-279
2188,-279
2192,-279
2196,-279
2200,-261
2204,-261
2208,-261
2212,-261
2216,-226
2220,-226
2224,-226
2228,-226
2232,-212
2236,-212
2240,-212
2244,-212
2248,-224
2252,-224
2256,-224
2260,-224
2264,-235
2268,-235
2272,-235
2276,-235
2280,-220
2284,-220
2288,-220
2292,-220
2296,-295
2300,-295
2304,-295
2308,-295
2312,-325
2316,-325
2320,-325
2324,-325
2328,-325
2332,-325
2336,-325
2340,-325
2344,-344
2348,-344
2352,-344
2356,-344
2360,-341
2364,-341
2368,-341
2372,-341
2376,-337
2380,-337
2384,-337
2388,-337
2392,-331
2396,-331
2400,-331
2404,-331
2408,-364
2412,-364
2416,-364
2420,-364
2424,-463
2428,-463
2432,-463
2436,-463
2440,-438
2444,-438
2448,-438
2452,-438
2456,137
2460,137
2464,137
2468,137
2472,859
2476,859
2480,859
2484,859
2488,325
2492,325
2496,325
2500,325
2504,-397
2508,-397
2512,-397
2516,-397
2520,-414
2524,-414
2528,-414
2532,-414
2536,-383
2540,-383
2544,-383
2548,-383
2552,-386
2556,-386
2560,-386
2564,-386
2568,-391
2572,-391
2576,-391
2580,-391
2584,-398
2588,-398
2592,-398
2596,-398
2600,-390
2604,-390
2608,-390
2612,-390
2616,-398
