Address,Data
1000,-205
1004,-205
1008,-205
1012,-205
1016,-194
1020,-194
1024,-230
1028,-230
1032,-244
1036,-244
1040,-257
1044,-257
1048,-224
1052,-224
1056,-322
1060,-322
1064,-375
1068,-375
1072,-375
1076,-375
1080,-404
1084,-404
1088,-416
1092,-416
1096,-394
1100,-394
1104,-417
1108,-417
1112,-419
1116,-419
1120,-495
1124,-495
1128,-612
1132,-612
1136,-516
1140,-516
1144,369
1148,369
1152,1026
1156,1026
1160,-281
1164,-281
1168,-513
1172,-513
1176,-472
1180,-472
1184,-452
1188,-452
1192,-475
1196,-475
1200,-467
1204,-467
1208,-481
1212,-481
1216,-455
1220,-455
1224,-468
1228,-468
1232,-493
1236,-493
1240,-470
1244,-470
1248,-474
1252,-474
1256,-470
1260,-470
1264,-481
1268,-481
1272,-487
1276,-487
1280,-470
1284,-470
1288,-475
1292,-475
1296,-488
1300,-488
1304,-482
1308,-482
1312,-477
1316,-477
1320,-496
1324,-496
1328,-491
1332,-491
1336,-511
1340,-511
1344,-525
1348,-525
1352,-518
1356,-518
1360,-513
1364,-513
1368,-502
1372,-502
1376,-468
1380,-468
1384,-426
1388,-426
1392,-405
1396,-405
1400,-361
1404,-361
1408,-345
1412,-345
1416,-352
1420,-352
1424,-356
1428,-356
1432,-363
1436,-363
1440,-375
1444,-375
1448,-390
1452,-390
1456,-383
1460,-383
1464,-394
1468,-394
1472,-392
1476,-392
1480,-395
1484,-395
1488,-424
1492,-424
1496,-433
1500,-433
1504,-409
1508,-409
1512,-421
1516,-421
1520,-438
1524,-438
1528,-427
1532,-427
1536,-449
1540,-449
1544,-448
1548,-448
1552,-443
1556,-443
1560,-431
1564,-431
1568,-422
1572,-422
1576,-414
1580,-414
1584,-431
1588,-431
1592,-394
1596,-394
1600,-369
1604,-369
1608,-320
1612,-320
1616,-300
1620,-300
1624,-317
1628,-317
1632,-332
1636,-332
1640,-311
1644,-311
1648,-417
1652,-417
1656,-460
1660,-460
1664,-460
1668,-460
1672,-486
1676,-486
1680,-482
1684,-482
1688,-477
1692,-477
1696,-468
1700,-468
1704,-515
1708,-515
1712,-655
1716,-655
1720,-620
1724,-620
1728,194
1732,194
1736,1215
1740,1215
1744,460
1748,460
1752,-561
1756,-561
1760,-586
1764,-586
1768,-542
1772,-542
1776,-546
1780,-546
1784,-553
1788,-553
1792,-563
1796,-563
1800,-551
1804,-551
1808,-563
1812,-563
1816,-561
1820,-561
1824,-576
1828,-576
1832,-579
1836,-579
1840,-561
1844,-561
1848,-563
1852,-563
1856,-560
1860,-560
1864,-548
1868,-548
1872,-563
1876,-563
1880,-563
1884,-563
1888,-571
1892,-571
1896,-588
1900,-588
1904,-599
1908,-599
1912,-604
1916,-604
1920,-633
1924,-633
1928,-643
1932,-643
1936,-643
1940,-643
1944,-655
1948,-655
1952,-622
1956,-622
1960,-544
1964,-544
1968,-491
1972,-491
1976,-458
1980,-458
1984,-434
1988,-434
1992,-445
1996,-445
2000,-442
2004,-442
2008,-429
2012,-429
2016,-445
2020,-445
2024,-441
2028,-441
2032,-424
2036,-424
2040,-440
2044,-440
2048,-450
2052,-450
2056,-450
2060,-450
2064,-475
2068,-475
2072,-477
2076,-477
2080,-474
2084,-474
2088,-479
2092,-479
2096,-480
2100,-480
2104,-470
2108,-470
2112,-502
2116,-502
2120,-486
2124,-486
2128,-474
2132,-474
2136,-489
2140,-489
2144,-486
2148,-486
2152,-481
2156,-481
2160,-475
2164,-475
2168,-479
2172,-479
2176,-452
2180,-452
2184,-409
2188,-409
2192,-371
2196,-371
2200,-328
2204,-328
2208,-343
2212,-343
2216,-355
2220,-355
2224,-359
2228,-359
2232,-348
2236,-348
2240,-421
2244,-421
2248,-474
2252,-474
2256,-506
2260,-506
2264,-510
2268,-510
2272,-523
2276,-523
2280,-537
2284,-537
2288,-537
2292,-537
2296,-636
2300,-636
2304,-767
2308,-767
2312,-221
2316,-221
2320,1041
2324,1041
2328,389
2332,389
2336,-660
2340,-660
2344,-555
2348,-555
2352,-566
2356,-566
2360,-562
2364,-562
2368,-573
2372,-573
2376,-581
2380,-581
2384,-593
2388,-593
2392,-581
2396,-581
2400,-597
2404,-597
2408,-588
2412,-588
2416,-563
2420,-563
2424,-567
2428,-567
2432,-580
2436,-580
2440,-588
2444,-588
2448,-595
2452,-595
2456,-578
2460,-578
2464,-569
2468,-569
2472,-562
2476,-562
2480,-563
2484,-563
2488,-578
2492,-578
2496,-594
2500,-594
2504,-597
2508,-597
2512,-599
2516,-599
2520,-595
2524,-595
2528,-550
2532,-550
2536,-482
2540,-482
2544,-465
2548,-465
2552,-436
2556,-436
2560,-426
2564,-426
2568,-440
2572,-440
2576,-438
2580,-438
2584,-440
2588,-440
2592,-445
2596,-445
2600,-445
2604,-445
2608,-454
2612,-454
2616,-486
2620,-486
2624,-482
2628,-482
2632,-501
2636,-501
2640,-503
2644,-503
2648,-498
2652,-498
2656,-502
2660,-502
2664,-523
2668,-523
2672,-520
2676,-520
2680,-508
2684,-508
2688,-506
2692,-506
2696,-496
2700,-496
2704,-504
2708,-504
2712,-521
2716,-521
2720,-511
2724,-511
2728,-496
2732,-496
2736,-474
2740,-474
2744,-433
2748,-433
2752,-399
2756,-399
2760,-380
2764,-380
2768,-369
2772,-369
2776,-385
2780,-385
2784,-392
2788,-392
2792,-361
2796,-361
2800,-440
2804,-440
2808,-532
2812,-532
2816,-537
2820,-537
2824,-547
2828,-547
2832,-557
2836,-557
2840,-557
2844,-557
2848,-566
2852,-566
2856,-660
2860,-660
2864,-769
2868,-769
2872,-828
2876,-828
2880,-240
2884,-240
2888,946
2892,946
2896,355
2900,355
2904,-673
2908,-673
2912,-562
2916,-562
2920,-557
2924,-557
2928,-573
2932,-573
2936,-569
2940,-569
2944,-573
2948,-573
2952,-569
2956,-569
2960,-555
2964,-555
2968,-562
2972,-562
